"","wflow_id",".metric","mean","std_err","n"
"1","default_glm","boyce_cont",0.301684410527303,0.177623193592642,7
"2","default_glm","roc_auc",0.690884927593683,0.0645749162484975,8
"3","default_glm","tss_max",0.510665398503199,0.0768544283983161,8
"4","default_rf","boyce_cont",0.39379287186917,0.179372632573703,8
"5","default_rf","roc_auc",0.550983631901721,0.0514577718883658,8
"6","default_rf","tss_max",0.307057781962429,0.0666720661096124,8
"7","default_gbm","boyce_cont",0.467005744999447,0.194012852867039,8
"8","default_gbm","roc_auc",0.542609735850506,0.0652950295169505,8
"9","default_gbm","tss_max",0.312448878199781,0.0936600657715674,8
"10","default_maxent","boyce_cont",0.140328788562622,0.157298866406495,8
"11","default_maxent","roc_auc",0.700761975949629,0.0373233495896118,8
"12","default_maxent","tss_max",0.515413038483752,0.0542129580161959,8
