"","var","importance","mean","sd","min","q25","med","q75","max"
"1","dfs",54.2,0.437056501398622,0.029703589822829,0.399698385239817,0.423561446137775,0.427826915816831,0.461561024313164,0.472634735485525
"2","brick_sst",22.18,0.769659175254711,0.0395947453207015,0.706475445342819,0.765991013840272,0.77271869839918,0.791037695790773,0.812073022900512
"3","brick_mld",8.45,0.912209559530846,0.0156973737151412,0.896060159562405,0.89860114873769,0.911525656488198,0.92127324543024,0.933587587435698
"4","brick_depth",4.28,0.955519260683996,0.00804976327831752,0.946750757855365,0.951504173196521,0.952948985070905,0.958629451388134,0.967762935909052
"5","brick_u",3.69,0.961635548152077,0.00446384417598628,0.957362225143158,0.958243012336329,0.959895977143525,0.965181572089496,0.967494954047875
"6","brick_sbtm",2.23,0.976804326156216,0.00141092051302176,0.975121339687804,0.976027469720829,0.976343753206378,0.978105953534103,0.978423114631965
"7","brick_v",2.21,0.977028567559213,0.00254832058585071,0.973608326910299,0.976010045554821,0.976424868429107,0.979264618678778,0.979834978223062
"8","brick_xbtm",1.75,0.981866443227044,0.00456385073711569,0.97757730256285,0.97827003112813,0.980011011615227,0.985995986084989,0.987477884744025
"9","brick_tbtm",0.34,0.996471858345938,0.00028338342315307,0.996065570141903,0.996403069294166,0.996416899532712,0.996673896100599,0.996799856660309
"10","brick_sss",0.34,0.996498870094084,0.000175039334190416,0.996242057197725,0.996414661605932,0.99653075839427,0.996634560126489,0.996672313146005
"11","fish_biomass",0.33,0.996569892390604,0.000276181051973199,0.996173755445311,0.996483931834734,0.996534421559961,0.996775792114493,0.996881560998521
"12","log_depth",0,1,0,1,1,1,1,1
