"",".metric",".estimator",".estimate",".config"
"1","accuracy","binary",0.96003717472119,"Preprocessor1_Model1"
"2","boyce_cont","binary",0.951509114195953,"Preprocessor1_Model1"
"3","roc_auc","binary",0.9140683041041,"Preprocessor1_Model1"
"4","tss_max","binary",0.720164794344762,"Preprocessor1_Model1"
"5","brier_class","binary",0.0326327569456477,"Preprocessor1_Model1"
