"","var","importance","mean","sd","min","q25","med","q75","max"
"1","log_depth",16.84,0.876908534848766,0.0113610056531996,0.86861134609749,0.869651244666822,0.872524151263922,0.877476470025455,0.896279462190143
"2","brick_tbtm",7.02,0.948709943719492,0.00368185198410723,0.943796259191859,0.946669556425557,0.949221300511479,0.950365912154817,0.95349669031375
"3","brick_mld",9.82,0.928220928268825,0.00910649691201345,0.918506451848436,0.919682600870516,0.930871924051743,0.931796724506,0.94024694006743
"4","brick_sss",25.6,0.812920124481908,0.019479406723079,0.783958125204681,0.804791786155685,0.815145201703519,0.830054677783344,0.83065083156231
"5","brick_sbtm",19.23,0.859476381838147,0.0114013487708965,0.842568302367263,0.85542007483121,0.861457726710643,0.864873847471678,0.873061957809939
"6","gseal",7.83,0.942801763542651,0.00531858985334312,0.934031891980779,0.941668824507062,0.944893764757016,0.946514096548306,0.946900239920094
"7","hseal",13.67,0.900051747946873,0.00402727599814486,0.895427169994879,0.896104024730967,0.901415359639208,0.90347927468157,0.903832910687741
