"","var","importance","mean","sd","min","q25","med","q75","max"
"1","log_depth",25.76,0.688269099749998,0.0592397540679883,0.631805345972889,0.647958386651591,0.661082709476843,0.730224070796002,0.770274985852665
"2","sss",22.13,0.732130744383754,0.0218522025928551,0.709716533237461,0.714906613915333,0.725764577572935,0.752655901168863,0.75761009602418
"3","sbtm",18.73,0.773353644672198,0.0332790267037225,0.729657647805003,0.753919916465802,0.77405018750213,0.794733360153823,0.814407111434229
"4","hseal",17,0.794314079592011,0.01531004568843,0.779898239093464,0.78099075856371,0.789549309961448,0.809757696406462,0.811374393934971
"5","mld",12.86,0.844323976282639,0.018020286647754,0.817600286553765,0.836395284203909,0.849862845874426,0.853074451328656,0.864687013452439
"6","gseal",3.52,0.957358694438544,0.00793877386996181,0.946604416648413,0.95478648045046,0.955628518675125,0.962290817533805,0.967483238884919
"7","tbtm",0,1,0,1,1,1,1,1
