"","var","importance","mean","sd","min","q25","med","q75","max"
"1","dfs",41.02,0.640665631268641,0.0126509685766553,0.620848433902332,0.635189946502902,0.647523525833404,0.649369078635718,0.650397171468846
"2","fish_biomass",32.16,0.718286468195413,0.00546275783836765,0.713720256673497,0.715027668173088,0.715174678476183,0.720721159764038,0.726788577890257
"3","mld",8.89,0.922125931511041,0.00179564480708261,0.920097596385969,0.921124696059845,0.921369500702202,0.923874615759816,0.924163248647375
"4","depth",6.5,0.943098983581103,0.00256560366904432,0.938695492467931,0.943080649510193,0.944056585206327,0.944729126446125,0.944933064274939
"5","xbtm",2.89,0.97464579159568,0.000514879598102602,0.973922460393023,0.974481167512654,0.974675077710247,0.974810002780253,0.975340249582224
"6","sss",2.62,0.977089378629513,0.000507546783393991,0.976591837934033,0.976787610936421,0.977063307662388,0.977083440053808,0.977920696560917
"7","sbtm",2.3,0.97984744407622,0.000869123517338052,0.978317440902181,0.980062333817491,0.980091497239164,0.98035779045696,0.980408157965303
"8","log_depth",1.26,0.988939851954367,0.000746544372771186,0.987870758136983,0.988538811061996,0.989060533158845,0.989599707934068,0.989629449479944
"9","sst",0.76,0.993309327673308,0.000228956918481888,0.993039259193068,0.993215955199762,0.993218577636656,0.993445183423358,0.993627662913698
"10","u",0.71,0.993783359659093,0.000266154886168027,0.993448108597285,0.993656964242666,0.993740769928847,0.99392136453909,0.994149590987575
"11","tbtm",0.55,0.99519154257259,0.000141797578317703,0.995042718797592,0.995096304450984,0.995192157022977,0.995214337811501,0.995412194779896
"12","v",0.34,0.997003869792411,0.000191976051137017,0.996754975119334,0.996914930468455,0.996992848968626,0.997087222635439,0.997269371770202
