"","var","importance","mean","sd","min","q25","med","q75","max"
"1","dfs",53.32,0.427943444875494,0.0386356757431078,0.395012386729789,0.409553203162547,0.410053401074847,0.432274973720594,0.492823259689694
"2","sst",41.82,0.55126504710104,0.048483048644859,0.491402662486031,0.517342507814194,0.550408834363843,0.588865152784483,0.60830607805665
"3","v",2.19,0.976453282739239,0.00406409441381921,0.970335250625616,0.976218146284569,0.976358862680796,0.977703852176313,0.981650301928902
"4","sbtm",1.51,0.983826502766205,0.000856828484134819,0.982721668149121,0.983538797955305,0.983549352333687,0.984376354592854,0.984946340800057
"5","mld",0.47,0.994972019781691,0.00239419711609389,0.990977119039418,0.994485059789652,0.996309628913492,0.996543934683804,0.996544356482092
"6","u",0.31,0.996693833803532,0.000138719042867664,0.996474797756036,0.996635673920665,0.996786201875931,0.996786247688173,0.996786247776855
"7","xbtm",0.2,0.997857953241229,0.00013087810332885,0.997632735109069,0.997872552093851,0.997890067296989,0.997929647263523,0.997964764442712
"8","sss",0.16,0.998318568801505,0.000340736057755628,0.997914719789212,0.998009257203223,0.998442976861648,0.99852117251435,0.998704717639094
"9","log_depth",0.02,0.999759104724846,4.10641583700148e-05,0.999712424534046,0.999727630996297,0.99976459029513,0.999774166985393,0.999816710813366
"10","tbtm",0,1,0,1,1,1,1,1
