"","var","importance","mean","sd","min","q25","med","q75","max"
"1","brick_sst",55.43,0.0813414388421752,0.0408180113658272,0.0387282725722288,0.0559136982392712,0.0694970120659663,0.100417091458189,0.14215111987522
"2","dfs",12.12,0.799091067218484,0.0039784189682819,0.795004009418431,0.796434816303528,0.797601465542588,0.801895607847478,0.804519436980397
"3","brick_mld",10.14,0.831909004602094,0.0182960136784933,0.818902485382314,0.819272673405153,0.822340135070586,0.837295327293765,0.86173440185865
"4","brick_u",5.03,0.916630575169624,0.00506715665609644,0.909218146784339,0.913603087570208,0.918922900738767,0.920432194631518,0.920976546123289
"5","brick_sss",4.9,0.918835923405236,0.0104590832828954,0.908151149774774,0.909302308060742,0.918523251910686,0.925810899132127,0.932392008147851
"6","brick_v",4.11,0.931856174918433,0.0085886788156913,0.919866500715969,0.925567367469283,0.937483354871707,0.937998308704389,0.938365342830815
"7","fish_biomass",3.32,0.944966373371329,0.00831793252274678,0.934305090195815,0.93974114373444,0.944972712999784,0.950704638928554,0.955108280998054
"8","brick_depth",1.61,0.973285194452345,0.00226529670976184,0.970587981565695,0.972198390932848,0.972709970981502,0.974407031498855,0.976522597282825
"9","brick_tbtm",1.47,0.975693858953943,0.00190572943510156,0.973542623678372,0.974521187051177,0.975284177961606,0.97672801647773,0.978393289600832
"10","brick_xbtm",1.41,0.976584357971473,0.00249665444210393,0.973583046469639,0.974980469340412,0.977003864769441,0.977191135353765,0.980163273924108
"11","brick_sbtm",0.44,0.992671002672508,0.000982716362845557,0.991545070084197,0.991879913978036,0.992657322054168,0.993406801658955,0.993865905587183
"12","log_depth",0,0.999940106679781,6.16517830052742e-06,0.999935809953849,0.999936395541789,0.999937078667731,0.999940637676883,0.999950611558652
