"","var","importance","mean","sd","min","q25","med","q75","max"
"1","dfs",87.29,-0.0598968201096156,0.0309501195102126,-0.10254047371099,-0.0753141292230648,-0.0603141460328277,-0.0363776275416735,-0.0249377240395224
"2","sss",6.26,0.923963104398546,0.00736679524187445,0.915008120606775,0.921247094821695,0.922028220942727,0.926691332407444,0.934840753214088
"3","sst",2.86,0.965230715898765,0.00379299003412989,0.961027230013203,0.961730512639741,0.966020358019957,0.96744258493189,0.969932893889035
"4","tbtm",1.12,0.986374371271273,0.00179288018629995,0.983597904409174,0.985880683076603,0.986524629871418,0.987845644297669,0.988022994701502
"5","sbtm",0.83,0.989967247358334,0.000782911962609706,0.989018432625371,0.989596655367228,0.98993807345356,0.990139526333009,0.991143549012501
"6","u",0.68,0.991700910922438,0.00156910252687304,0.990273404347399,0.990692987323306,0.991570323498859,0.991663811823317,0.994304027619311
"7","log_depth",0.52,0.993656107696417,0.000786285575387136,0.99282718059491,0.992828119529845,0.993889195130574,0.994240893964222,0.994495149262536
"8","xbtm",0.4,0.995191563161469,0.000472288089413128,0.994659456251068,0.994901520782062,0.995085673512181,0.995451718635188,0.995859446626846
"9","mld",0.03,0.999641542194733,9.36440365282282e-05,0.999519191592712,0.999584590739352,0.999660855670474,0.999678568469853,0.999764504501274
"10","v",0,1,0,1,1,1,1,1
