"","var","importance","mean","sd","min","q25","med","q75","max"
"1","sss",29.74,0.410206641635359,0.0314496215823354,0.362955198821636,0.404869057730721,0.405052014190053,0.438244454753161,0.439912482681223
"2","tbtm",23.33,0.537309789260413,0.0356001787567844,0.490860327698049,0.508099167570187,0.555989543110696,0.559228582803573,0.572371325119558
"3","log_depth",13.97,0.72286087626804,0.015921943970322,0.702856216632456,0.712562341944267,0.724113220570018,0.730896205424692,0.743876396768765
"4","hseal",12.84,0.745259373431788,0.00904184893369037,0.73491325698043,0.739578323481873,0.745744692143256,0.747255627357898,0.758804967195481
"5","sbtm",10.48,0.792148240727504,0.0112418547136928,0.778136513740547,0.786650424784965,0.791522646357925,0.796057097215456,0.808374521538627
"6","mld",5.12,0.898477488562783,0.0121321227201948,0.88157854931193,0.891591316486287,0.899918617669281,0.908225318643718,0.911073640702701
"7","gseal",4.52,0.910442029795283,0.00550895732455341,0.902832440322153,0.907289411513467,0.911170566822724,0.914300947005564,0.916616783312505
