"","var","importance","mean","sd","min","q25","med","q75","max"
"1","log_depth",4.17,0.961335375164631,0.00181518769007126,0.959622689451116,0.959978204592374,0.960883067556668,0.962097202472812,0.964095711750186
"2","brick_tbtm",15.81,0.853464861878799,0.00320065006107359,0.849258735882835,0.850995971489088,0.854783829014927,0.85539910511247,0.856886667894674
"3","brick_mld",12.01,0.888730898093702,0.00415608083406412,0.883814531421112,0.886157938352258,0.888469032979814,0.890582612670746,0.894630375044581
"4","brick_sss",15.32,0.857999611648659,0.00972530781947984,0.847812171000605,0.850818001811424,0.858632799875231,0.859944089196768,0.872790996359269
"5","brick_sbtm",31.55,0.707610967330071,0.0103374489352404,0.696296492133334,0.700225316120839,0.706013218666743,0.713497772637927,0.72202203709151
"6","gseal",9.83,0.908952926543041,0.00679534557976789,0.897085698838107,0.910384784727832,0.911447444730482,0.911496048107201,0.914350656311583
"7","hseal",11.3,0.895291892602832,0.00228188415046186,0.892641418688563,0.894445020146544,0.894605663695978,0.895993767472045,0.898773593011029
