"","var","importance","mean","sd","min","q25","med","q75","max"
"1","dfs",32.52,0.604689772032994,0.0209871417439203,0.580501399555331,0.595420297493251,0.602180219096888,0.607879636007728,0.637467308011772
"2","log_depth",28.08,0.658690297538503,0.010018597167008,0.652881849470748,0.653173050762461,0.653485114249083,0.657639563119406,0.676271910090816
"3","fish_biomass",13.04,0.841530342966594,0.0145631598556198,0.823759390835385,0.830222810907328,0.843002761214644,0.852057706151769,0.858609045723844
"4","xbtm",9.23,0.887814408752654,0.0129411407938697,0.86521824678994,0.890556657285794,0.890796221588502,0.895720864528289,0.896780053570747
"5","sbtm",6.14,0.925376217085218,0.00438020684431255,0.921762218721792,0.922935552577644,0.923697419556702,0.925707027703788,0.932778866866166
"6","sss",5.07,0.938343657983657,0.00843625414515909,0.930420985477786,0.930823262906807,0.936939679943596,0.943490457827306,0.95004390376279
"7","tbtm",3.92,0.952341556211854,0.00307644621278349,0.948611885260225,0.95081736745914,0.951501040129607,0.954305389813917,0.956472098396382
"8","mld",1.61,0.980472715178349,0.00231655211446947,0.976772944556979,0.980077662728064,0.980784125617315,0.981935933647199,0.982792909342186
"9","u",0.2,0.99754748668643,0.000534952055667541,0.997011579880428,0.997044719878639,0.997492574941395,0.998051010026517,0.998137548705171
"10","v",0.19,0.99774766104139,0.000236533953275986,0.997504805164747,0.997605268638511,0.997637560396773,0.997925581504562,0.998065089502357
