"",".metric",".estimator",".estimate",".config"
"1","accuracy","binary",0.875354107648725,"Preprocessor1_Model1"
"2","boyce_cont","binary",0.947777263009909,"Preprocessor1_Model1"
"3","roc_auc","binary",0.893053473263368,"Preprocessor1_Model1"
"4","tss_max","binary",0.649217058137598,"Preprocessor1_Model1"
