"","var","importance","mean","sd","min","q25","med","q75","max"
"1","log_depth",17.24,0.701834549457255,0.00679539387319764,0.690795462074617,0.701226390298424,0.702831134267952,0.705616066080744,0.708703694564541
"2","brick_sst",31.53,0.454700571001448,0.0349068407433749,0.418746438573247,0.426949515833501,0.445520551429552,0.485196328790017,0.497090020380921
"3","brick_tbtm",7.25,0.87465425120315,0.00414862505911553,0.870466963680299,0.873122313677173,0.873276462061609,0.874895036876097,0.881510479720573
"4","brick_sss",7.94,0.862656936516161,0.00620613876803499,0.854061769246678,0.858494945051566,0.864513006686528,0.868064481516512,0.868150480079521
"5","brick_sbtm",0.37,0.993537307362909,8.99489828363912e-05,0.993383047753313,0.993535732166732,0.993579440900568,0.993581399754991,0.99360691623894
"6","brick_mld",1.96,0.966173146797816,0.000350947030709848,0.965660200296209,0.966015407910041,0.966265278723839,0.966342404246767,0.966582442812225
"7","dfs",32.53,0.437375537033388,0.00897728171366952,0.427531013289994,0.430143386919612,0.437226611485641,0.442469466987208,0.449507206484486
"8","brick_u",0.06,0.998953547753031,2.51564663459804e-05,0.998921438680891,0.998931526603128,0.998966662161609,0.998972975972328,0.998975135347199
"9","brick_v",0.96,0.983363854842177,0.000682259205263209,0.982434104617772,0.982998203364924,0.98340376322667,0.983799183211351,0.984184019790165
"10","brick_xbtm",0.15,0.997434056815258,6.52253548775195e-05,0.997352848963726,0.997409536183845,0.997426758000686,0.997449457488726,0.997531683439305
