"","var","importance","mean","sd","min","q25","med","q75","max"
"1","log_depth",7.29,0.856258076417479,0.00311913334144128,0.850763378295972,0.856956325472048,0.857457738342575,0.85765083196523,0.858462108011569
"2","brick_sst",19.88,0.607866058233544,0.0293042500065186,0.576400674079856,0.580384462988811,0.611104772207783,0.627737299547431,0.643703082343841
"3","brick_tbtm",2.09,0.95883911227158,0.00409026116360583,0.953967872515605,0.954915030700209,0.961172919177282,0.961212165097604,0.962927573867198
"4","brick_sss",0,1,0,1,1,1,1,1
"5","brick_sbtm",1.34,0.973519742753464,0.00177784012134388,0.971369731844524,0.973190483593237,0.973320741261277,0.973395025294737,0.976322731773543
"6","brick_mld",9.11,0.820214917821199,0.0201519462134793,0.797031695840023,0.808839613458767,0.812490559643835,0.839949671943151,0.842763048220221
"7","dfs",32.29,0.362862496062531,0.0418044293626882,0.307969179879352,0.343358945636428,0.359700553951153,0.384625814892541,0.418657985953181
"8","brick_u",7.09,0.860190723386992,0.00704878271231821,0.850698562165084,0.856463092494239,0.861672067390705,0.862620831852482,0.869499063032451
"9","brick_v",7.47,0.852577224867571,0.0248339012383102,0.821940764104058,0.841086968707887,0.845266208599761,0.869525113476802,0.885067069449348
"10","brick_xbtm",13.44,0.734786144321294,0.0258872219075813,0.704671276803639,0.719558132190077,0.736473881205492,0.739495578646658,0.773731852760605
