"",".metric",".estimator",".estimate",".config"
"1","accuracy","binary",0.793532338308458,"Preprocessor1_Model1"
"2","boyce_cont","binary",0.922491438506962,"Preprocessor1_Model1"
"3","roc_auc","binary",0.857575757575758,"Preprocessor1_Model1"
"4","tss_max","binary",0.615319865319865,"Preprocessor1_Model1"
