"","var","importance","mean","sd","min","q25","med","q75","max"
"1","log_depth",43.48,-0.0637510560052262,0.0141909367751122,-0.0794121563012779,-0.0691301898513876,-0.0677171964285978,-0.0613210000252602,-0.0411747374196075
"2","brick_tbtm",6.81,0.833291709173469,0.00602366427885698,0.826519600881085,0.830854229311095,0.831667090963225,0.834708439344274,0.842709185367669
"3","brick_mld",2.59,0.93653253072368,0.00140523391780741,0.934795547853466,0.935416365069378,0.936714827868529,0.937734093796247,0.938001819030782
"4","brick_sss",0.71,0.982509097733656,0.000306654675041979,0.982291859579683,0.982328132077316,0.982397686516555,0.982486469509571,0.983041340985152
"5","brick_sbtm",0,1,0,1,1,1,1,1
"6","gseal",34.91,0.145906173725266,0.0111198657014157,0.132887631124296,0.136270965648072,0.149210987863363,0.151447029917293,0.159714254073304
"7","hseal",11.49,0.718749886600444,0.00802859514673193,0.710636235872498,0.710906063829071,0.718743826008719,0.725494877747117,0.727968429544816
