"","var","importance","mean","sd","min","q25","med","q75","max"
"1","log_depth",3.5,0.979710784998405,0.00119239121104139,0.977888296220623,0.979358394845333,0.980097160021903,0.980108607569664,0.981101466334501
"2","brick_sst",14.14,0.917969962150985,0.00338026636489631,0.914373131570215,0.915109343885575,0.917457776764024,0.921323933631483,0.921585624903625
"3","brick_tbtm",3.32,0.980717149263503,0.00138173885282504,0.979001329574257,0.97991872211532,0.980517096829607,0.981667141270478,0.982481456527854
"4","brick_sss",23.39,0.864330473622999,0.00419572968970715,0.859931560249947,0.861001039892165,0.863392086385448,0.867785117286403,0.869542564301031
"5","brick_sbtm",15.85,0.908064753063524,0.00135465335110194,0.906243873460095,0.90754409803571,0.907768405261636,0.90907822355052,0.909689165009657
"6","brick_mld",9.17,0.946818726156222,0.0021125881820052,0.943652885719635,0.946059197394669,0.947203697607872,0.947941903168485,0.949235946890449
"7","dfs",26.37,0.847074874727687,0.0109720963111915,0.831431871972754,0.845816774100042,0.845838899822112,0.850258823865415,0.862028003878112
"8","vel_mag",3.65,0.978825668647049,0.00156648937407089,0.976064319980728,0.979083946088619,0.979566292531199,0.979601611524882,0.979812173109815
"9","brick_xbtm",0.6,0.996492312391613,0.000140391397858201,0.996265344400669,0.99647246116633,0.996518881882953,0.996571056290193,0.996633818217919
