"","var","importance","mean","sd","min","q25","med","q75","max"
"1","dfs",48.79,0.451157448467248,0.0397088668555238,0.398493201949184,0.425180631127801,0.454488332900613,0.486367934546871,0.49125714181177
"2","sst",28.66,0.677547786643688,0.0229932188856913,0.658423046088568,0.665043635544957,0.673440108861813,0.673768684121702,0.717063458601398
"3","u",15.17,0.829288501346899,0.0101043651816448,0.818818717851369,0.820935351547232,0.830600263081199,0.831962967932989,0.844125206321707
"4","xbtm",6.58,0.926018288408611,0.00723806481537543,0.915312114027027,0.923150580696573,0.927208919661918,0.930133575921867,0.934286251735672
"5","v",0.63,0.992910835063521,0.00107908614190046,0.991536223106028,0.992035944512032,0.993223941539089,0.99375683317915,0.994001232981305
"6","sss",0.17,0.998079534285864,0.000172732659632367,0.997922555719247,0.99795704763302,0.998001679778702,0.998188190511737,0.998328197786616
"7","tbtm",0,1,0,1,1,1,1,1
"8","mld",0,1,0,1,1,1,1,1
"9","sbtm",0,1,0,1,1,1,1,1
"10","depth",0,1,0,1,1,1,1,1
"11","log_depth",0,1,0,1,1,1,1,1
"12","fish_biomass",0,1,0,1,1,1,1,1
