"","var","importance","mean","sd","min","q25","med","q75","max"
"1","sss",32.75,0.112437297171456,0.0330131510564851,0.0583013215151196,0.103310725099027,0.131208125257186,0.133384340755908,0.135981973230038
"2","log_depth",20.21,0.452235168114775,0.0287093175215305,0.415804489518124,0.428446642160058,0.464223066414864,0.469387625742233,0.483314016738597
"3","sbtm",16.8,0.544789644662408,0.0315859361804608,0.520129297923589,0.527390647938755,0.529197495849719,0.549378381042776,0.597852400557203
"4","hseal",11.75,0.681553552142261,0.0137624880348309,0.662798836767603,0.671181875259715,0.688832124051707,0.69065098462942,0.69430394000286
"5","mld",11.21,0.696341227789786,0.0109547139757329,0.682899797149535,0.686754528143382,0.699942369265744,0.704355605021698,0.707753839368569
"6","tbtm",6.36,0.827737831444778,0.00804286211512338,0.814862284817603,0.826474678741282,0.829145814926363,0.832059016209932,0.83614736252871
"7","gseal",0.92,0.975018843239385,0.00131512039791447,0.973700830514445,0.973941662531965,0.97521620957342,0.975232738320484,0.97700277525661
