"","var","importance","mean","sd","min","q25","med","q75","max"
"1","sst",44.41,-0.0401026888235684,0.0409169387135628,-0.0920853389242152,-0.0559350958151947,-0.0503782561826911,-0.0182222007153309,0.01610744751959
"2","mld",15.9,0.627658785819603,0.0345775345398423,0.56654414518813,0.635531185993715,0.64208056070519,0.643608691240528,0.65052934597045
"3","log_depth",15.12,0.645958958569125,0.0279122316901779,0.612798858423305,0.6224595163955,0.656005702475746,0.657491634140045,0.681039081411028
"4","fish_biomass",14.13,0.669092343932604,0.0419562783938238,0.614410592567095,0.638170742206829,0.676771775966896,0.707921285410073,0.708187323512127
"5","sss",5.31,0.875631350589078,0.0244503486408052,0.836585869261251,0.873461706287817,0.878184776159389,0.887609047612729,0.902315353624203
"6","dfs",4.44,0.895955493943592,0.0112046868189922,0.879917585447093,0.888585869623638,0.901632225567019,0.904034059776732,0.90560772930348
"7","u",0.45,0.989474176537142,0.00427864697626304,0.984402584131349,0.986134838366635,0.989470353670589,0.992991988730724,0.994371117786413
"8","tbtm",0.2,0.99542932288185,0.000723329660551981,0.994727101460328,0.994973374728056,0.995188865370025,0.995706782855977,0.996550489994866
"9","xbtm",0.04,0.999013579131363,0.000143866305899158,0.998895790860608,0.998903049203131,0.998935449421761,0.999124143372416,0.9992094627989
"10","sbtm",0,1,0,1,1,1,1,1
"11","v",0,1,0,1,1,1,1,1
