"",".metric",".estimator",".estimate",".config"
"1","accuracy","binary",0.897727272727273,"Preprocessor1_Model1"
"2","boyce_cont","binary",-0.639272708574906,"Preprocessor1_Model1"
"3","roc_auc","binary",0.726190476190476,"Preprocessor1_Model1"
"4","tss_max","binary",0.464285714285714,"Preprocessor1_Model1"
