"",".metric",".estimator",".estimate",".config"
"1","accuracy","binary",0.980952380952381,"Preprocessor1_Model1"
"2","boyce_cont","binary",0.835495031733851,"Preprocessor1_Model1"
"3","roc_auc","binary",0.941690962099125,"Preprocessor1_Model1"
"4","tss_max","binary",0.724489795918367,"Preprocessor1_Model1"
