"","var","importance","mean","sd","min","q25","med","q75","max"
"1","log_depth",1.86,0.986624646747932,0.000515085640327413,0.985962350604303,0.986504452233573,0.986525020404518,0.986742301975647,0.987389108521619
"2","brick_sst",17.45,0.874630454647615,0.00180889237190081,0.872320978037334,0.874200389874395,0.874520955310213,0.87473224640584,0.877377703610295
"3","brick_tbtm",23.92,0.82820281420609,0.00826031920153341,0.818678154134558,0.820887738148279,0.829248914412804,0.834897922434503,0.837301341900307
"4","brick_sss",2.83,0.979663382044436,0.000658953467496352,0.978595782114363,0.979555967971724,0.979857071715308,0.979971620411523,0.980336468009263
"5","brick_sbtm",22.36,0.839390878085315,0.00258433431536808,0.836475173224986,0.837734842109811,0.838649201290735,0.841413135363978,0.842682038437064
"6","brick_mld",10.17,0.926956273337179,0.00197022904849975,0.925090863867965,0.925409964268745,0.926302601552915,0.928294202438601,0.929683734557669
"7","dfs",18.04,0.870392211307627,0.00275548652622577,0.867547109716502,0.868738783374144,0.868984151458723,0.873104813827842,0.873586198160924
"8","vel_mag",3.36,0.975875154071145,0.00073756339565747,0.975194200441962,0.975418715285309,0.975590958005787,0.976131668368567,0.977040228254103
"9","brick_xbtm",0,1,0,1,1,1,1,1
