"","var","importance","mean","sd","min","q25","med","q75","max"
"1","log_depth",24.82,0.635734024087963,0.0168476588483193,0.618285019477939,0.619496335969028,0.635752394079227,0.652085566607419,0.653050804306203
"2","sst",22.83,0.664888235606485,0.0109973779577813,0.651379480419081,0.657214826859696,0.664827448041173,0.672614333147483,0.67840508956499
"3","fish_biomass",12.77,0.812587498373372,0.0245615138899896,0.770328385634707,0.817595439940812,0.817836885709008,0.822996135900438,0.834180644681892
"4","dfs",9.05,0.867122653108124,0.0100598537022102,0.855591761149877,0.858257856121566,0.868905369272804,0.873525945025435,0.879332333970937
"5","v",7.29,0.892972417569664,0.00504328908018003,0.888358769955452,0.889574090861256,0.891054451019188,0.895115665863661,0.900759110148762
"6","sbtm",7.11,0.895673303863583,0.00742308734124203,0.886632380507931,0.88870830776003,0.899229370795084,0.901813345336456,0.901983114918412
"7","u",5.43,0.920224574177861,0.00496152937084832,0.914268900212121,0.915831243862149,0.922058337248608,0.923054200087117,0.925910189479308
"8","tbtm",5.18,0.923927161296401,0.00379352832364685,0.917284764055707,0.92447771678843,0.92554361926132,0.925659180488793,0.926670525887755
"9","sss",2.36,0.965364827193595,0.00358646028175035,0.961325991147916,0.962565819912242,0.966100961230689,0.966397411589648,0.97043395208748
"10","mld",1.73,0.974606769909507,0.00429353168103918,0.969454953745393,0.973499117026134,0.973633148182771,0.975152255858521,0.981294374734715
"11","xbtm",1.43,0.978988401470552,0.00305423454017746,0.973852793534958,0.979018845565935,0.979849204945213,0.980339310392265,0.981881852914386
