"","var","importance","mean","sd","min","q25","med","q75","max"
"1","sst",44.3,0.126366320797461,0.0394898691268482,0.0644585671927827,0.111046955470057,0.14401248738069,0.149667805997587,0.162645787946189
"2","sss",11.45,0.774144164388785,0.00977528488856555,0.761233422167592,0.76706808514606,0.776441186693188,0.781624181585317,0.784353946351771
"3","dfs",11.06,0.781874291679705,0.0128909594912305,0.766872854036754,0.771478110193325,0.783625075492837,0.788751399027628,0.798644019647979
"4","mld",9.71,0.808427688023674,0.0113900473050231,0.788862604302498,0.810840096685938,0.810891913623983,0.812910723112804,0.818633102393148
"5","tbtm",8.98,0.823011202554719,0.0160215625006651,0.800078489293445,0.816639486323863,0.825000824934184,0.830217024383031,0.843120187839071
"6","u",7.93,0.843536252786925,0.0200975597875593,0.821773556295612,0.825231133580648,0.849546739631957,0.85079561545901,0.8703342189674
"7","fish_biomass",2.66,0.947614060730757,0.00454938650921378,0.942127287292364,0.945693210812112,0.946362805397159,0.949714196006725,0.954172804145423
"8","xbtm",2.57,0.949270489294441,0.00289636015433845,0.946324894538054,0.947280718446647,0.949111712683647,0.949827643366772,0.953807477437088
"9","log_depth",0.83,0.983611882056027,0.00113272596901328,0.981929063723678,0.983058065438736,0.984063470489464,0.984190913326583,0.984817897301675
"10","v",0.41,0.991925271886387,0.000639501460258867,0.990985216939303,0.991683029119661,0.991942229508267,0.992423777559681,0.992592106305023
"11","sbtm",0.09,0.998287644710768,0.000275473906628995,0.997999340933832,0.998183591597032,0.998229331120855,0.998284238875981,0.998741721026139
