"","var","importance","mean","sd","min","q25","med","q75","max"
"1","dfs",34.45,0.569298352275072,0.0264698625729544,0.542818139998947,0.547652509567966,0.561384855211519,0.597193193799396,0.59744306279753
"2","tbtm",23.34,0.708178673933595,0.0276381714750786,0.667979263952463,0.701006668283173,0.703707454957131,0.730619856083841,0.737580126391366
"3","sst",21.43,0.732126250969231,0.0211248561433218,0.706687362262358,0.719751571681976,0.726669927315742,0.750690756043633,0.756831637542445
"4","fish_biomass",16.95,0.788078194923925,0.0191896834446294,0.764517418741338,0.773233030087568,0.791094222895146,0.8001978796163,0.811348423279272
"5","u",2.63,0.967102684841212,0.00729962458783602,0.958112414201827,0.963700535584299,0.965921639053818,0.970199964046501,0.977578871319613
"6","log_depth",0.71,0.991120549330017,0.00240420176834821,0.986990579047778,0.991380705884137,0.991609201705022,0.992667078947231,0.992955181065916
"7","xbtm",0.28,0.996459030337062,0.00160407329800706,0.99474712521147,0.994898016250844,0.996607387224583,0.99791795333586,0.998124669662552
"8","sss",0.2,0.997547896492323,0.000326482431549201,0.997273816153519,0.99737034166747,0.997487747329151,0.997499537243194,0.998108040068281
"9","v",0.01,0.999827603923665,1.36832493126349e-05,0.999814891214022,0.999819965264465,0.999820874783324,0.999833495491191,0.999848792865322
"10","mld",0,0.999987677283217,3.62954097626325e-06,0.999982359940395,0.99998552239522,0.999989535666599,0.99998995252869,0.99999101588518
"11","sbtm",0,1,0,1,1,1,1,1
