"","var","importance","mean","sd","min","q25","med","q75","max"
"1","sst",52.66,0.365589125866073,0.050473134324065,0.277621607500733,0.370225374537089,0.386745657073775,0.391680386663701,0.401672603555067
"2","dfs",27.1,0.67348745887296,0.0332176879092618,0.64573687862762,0.65352206502388,0.654427887480684,0.688817082410665,0.72493338082195
"3","tbtm",12.9,0.844575087611433,0.0143495961775684,0.823412474880094,0.83876696744185,0.84747492896298,0.851923305289409,0.86129776148283
"4","u",3.33,0.959829497500957,0.00748985650049249,0.949167808753693,0.959553255859525,0.959647503643918,0.960450613309932,0.970328305937714
"5","v",2.11,0.974606229282642,0.00245323701753504,0.971759891937915,0.973774808196449,0.974030765018107,0.975014632350514,0.978451048910227
"6","xbtm",1.12,0.986459626276025,0.00141455155454115,0.984975365442993,0.985429784103201,0.986364758163783,0.986949294624231,0.988578929045915
"7","mld",0.38,0.995418385845826,0.00110239057384116,0.993840898339413,0.994704104114137,0.995971487563589,0.996137734938905,0.996437704273088
"8","fish_biomass",0.32,0.996106755727803,0.000341526400391932,0.995575114036801,0.996039682086094,0.996135600173397,0.996301660755388,0.996481721587337
"9","log_depth",0.06,0.999268282723581,0.00013110868657856,0.999099442269649,0.999180896270961,0.999288454892826,0.999339691298352,0.999432928886115
"10","sss",0,1,0,1,1,1,1,1
"11","sbtm",0,1,0,1,1,1,1,1
