"","wflow_id",".metric","mean","std_err","n"
"1","default_glm","boyce_cont",0.584297551515292,0.125867923795887,9
"2","default_glm","roc_auc",0.58118754843049,0.0575853546703719,9
"3","default_glm","tss_max",0.297257876492276,0.0796993999576346,9
"4","default_rf","boyce_cont",0.272960736778082,0.151213736296697,9
"5","default_rf","roc_auc",0.550219228512522,0.029138340960215,9
"6","default_rf","tss_max",0.263499606198901,0.040336855505273,9
"7","default_gbm","boyce_cont",0.570046384671727,0.134763046832914,9
"8","default_gbm","roc_auc",0.593108315096127,0.0423908891356086,9
"9","default_gbm","tss_max",0.30935901816407,0.0561805613423932,9
"10","default_maxent","boyce_cont",0.422909747456933,0.120766597628871,9
"11","default_maxent","roc_auc",0.610634173928789,0.0536371850564442,9
"12","default_maxent","tss_max",0.34202306386201,0.0829615573873083,9
