"","wflow_id",".metric","mean","std_err","n"
"1","default_glm","boyce_cont",0.30753087140258,0.188505532156789,8
"2","default_glm","roc_auc",0.551294021882257,0.0425802695799043,9
"3","default_glm","tss_max",0.304997326565954,0.0722386232129195,9
"4","default_rf","boyce_cont",0.191531843460883,0.16518661747086,8
"5","default_rf","roc_auc",0.56550232628664,0.0418424427821602,9
"6","default_rf","tss_max",0.25035871898617,0.0656363175852529,9
"7","default_gbm","boyce_cont",0.228024058879142,0.334572981745895,6
"8","default_gbm","roc_auc",0.512311762311762,0.0443959492513664,9
"9","default_gbm","tss_max",0.167521367521368,0.0720031573726747,9
"10","default_maxent","boyce_cont",0.546528502408589,0.114780252901496,8
"11","default_maxent","roc_auc",0.564340779046661,0.0274290546372007,9
"12","default_maxent","tss_max",0.285078247823346,0.0572196288103859,9
