"",".metric",".estimator",".estimate",".config"
"1","accuracy","binary",0.89873417721519,"Preprocessor1_Model1"
"2","boyce_cont","binary",0.922772712227675,"Preprocessor1_Model1"
"3","roc_auc","binary",0.940990691489362,"Preprocessor1_Model1"
"4","tss_max","binary",0.816156914893617,"Preprocessor1_Model1"
