"",".metric",".estimator",".estimate",".config"
"1","accuracy","binary",0.95049504950495,"Preprocessor1_Model1"
"2","boyce_cont","binary",0.63572099316933,"Preprocessor1_Model1"
"3","roc_auc","binary",0.94949494949495,"Preprocessor1_Model1"
"4","tss_max","binary",0.807070707070707,"Preprocessor1_Model1"
