"","var","importance","mean","sd","min","q25","med","q75","max"
"1","dfs",52.11,0.277847983697779,0.103170545271564,0.15917268964409,0.183100023250193,0.301763257651336,0.350386365214391,0.394817582728883
"2","sst",34.21,0.525817650516505,0.0357420621357778,0.469446985637557,0.510700180968091,0.549254414214076,0.549699684728201,0.549986987034599
"3","mld",3.62,0.94984264335411,0.00913842703964256,0.934983481270425,0.94956943009918,0.950341035471508,0.955449529037963,0.958869740891475
"4","sss",3.62,0.94989295982004,0.00603843168488191,0.942578036935849,0.946809565542711,0.947816892476234,0.955530143001333,0.956730161144072
"5","v",2.69,0.96275267589229,0.0111173956203346,0.953930871388254,0.954509109487024,0.95703514554602,0.968834471556726,0.979453781483424
"6","sbtm",1.75,0.975710094184971,0.0022507474615872,0.972210649845532,0.975271755839092,0.976100998685671,0.976652201034392,0.97831486552017
"7","u",1.74,0.975860811760077,0.00620493438735033,0.969454113300031,0.971495560151927,0.975365670882858,0.977609463246428,0.985379251219141
"8","tbtm",0.21,0.997055195007473,0.00015643695522576,0.996823053672904,0.996980486610204,0.997116844630989,0.997130061858503,0.997225528264767
"9","xbtm",0.05,0.99927937057792,6.49067954146048e-05,0.99917602289641,0.99927686008989,0.999281039128535,0.999312308141579,0.999350622633184
"10","log_depth",0,1,0,1,1,1,1,1
