"","var","importance","mean","sd","min","q25","med","q75","max"
"1","brick_sst",49.96,-0.0951975258355813,0.0883540372405409,-0.216511899908936,-0.124271312726185,-0.0865869937365934,-0.0769332867435526,0.0283158639373612
"2","brick_depth",19.59,0.570475901677888,0.0487685997956438,0.487247634709133,0.566405987642657,0.597001844138196,0.597720479208643,0.604003562690808
"3","brick_mld",16.05,0.648108423692897,0.0399593675613918,0.588593352656506,0.634988218770081,0.652187924775756,0.670012320214453,0.694760302047688
"4","brick_sss",6.78,0.851275189801876,0.0124995697365601,0.836051169258608,0.846598478665806,0.850949291963438,0.852260249918757,0.870516759202771
"5","log_depth",3.79,0.916982017887156,0.0125352981270279,0.898487806952997,0.913282581782601,0.916020393555081,0.927180321581773,0.929938985563327
"6","brick_sbtm",3.16,0.930669407215856,0.0113391913277099,0.91399949552456,0.927510360542964,0.929390565182526,0.94021374007374,0.942232874755492
"7","brick_xbtm",0.63,0.986175732585112,0.00175722073073823,0.983520436710283,0.985666340309217,0.986502046231415,0.986921660376536,0.98826817929811
"8","brick_u",0.04,0.999227672788623,0.000286327584617862,0.998914336462418,0.998932999901671,0.999320630028562,0.999456546871168,0.999513850679297
"9","brick_tbtm",0,1,0,1,1,1,1,1
"10","brick_v",0,1,0,1,1,1,1,1
"11","dfs",0,1,0,1,1,1,1,1
"12","fish_biomass",0,1,0,1,1,1,1,1
