"","var","importance","mean","sd","min","q25","med","q75","max"
"1","gseal",45.11,0.326189378999127,0.0112359359021274,0.310550359973614,0.319374244958628,0.329864797435672,0.332105209464271,0.339052283163448
"2","hseal",14.76,0.779547159724771,0.00597279514263367,0.769304884648845,0.779746705633336,0.781571551399456,0.782687973636627,0.784424683305592
"3","mld",13.32,0.800986639322587,0.00457818695361498,0.796076094215812,0.796814494185525,0.80177315076769,0.803225927625056,0.807043529818854
"4","log_depth",11.55,0.827487326073488,0.00427105913260256,0.822499158998098,0.824137044967367,0.827769673670707,0.830043729037473,0.832987023693793
"5","sss",5.18,0.92259943339955,0.000829549059017552,0.921978449659665,0.922083424224231,0.922152911827668,0.922822165287117,0.92396021599907
"6","tbtm",5.08,0.924172513733411,0.00394492616201728,0.918288837453673,0.922220179399558,0.925893548602508,0.926190268808098,0.928269734403219
"7","sbtm",5,0.92531627735592,0.00127101234514169,0.923155434478479,0.925554629918181,0.92558915123875,0.925753298066998,0.926528873077191
