"","var","importance","mean","sd","min","q25","med","q75","max"
"1","brick_sst",40.29,0.507615733914552,0.036099499737047,0.457559161827806,0.501190112203888,0.501220899082017,0.521052967380441,0.557055529078608
"2","dfs",0,1,0,1,1,1,1,1
"3","brick_u",1.98,0.975753425882086,0.00689790145322563,0.967296024668749,0.971200868928783,0.975490814881402,0.980162463617185,0.984616957314311
"4","brick_v",38.19,0.533261398803328,0.0257032914198564,0.497744271138726,0.520117225398498,0.532798074537706,0.556937136407297,0.558710286534411
"5","brick_xbtm",19.54,0.761123749084916,0.0138735762094289,0.738923433354503,0.758988231024802,0.762416281485884,0.771014065668045,0.774276733891345
