"","var","importance","mean","sd","min","q25","med","q75","max"
"1","log_depth",36.65,0.766560206123011,0.00444312975718343,0.76133129810564,0.762983866620548,0.766575953183339,0.770634006409694,0.771275906295836
"2","sst",33.12,0.789019576584924,0.0213936376365078,0.772799113211084,0.773807557347256,0.783126456645243,0.790291104209468,0.825073651511569
"3","v",29.59,0.811474705888306,0.0168228049167251,0.792373591200341,0.795274455335316,0.815781007397968,0.825264148146119,0.828680327361784
"4","sss",0.64,0.995918571822373,9.46662151529584e-05,0.995761764434468,0.995902711059039,0.995952529363872,0.995977128581083,0.995998725673404
"5","tbtm",0,1,0,1,1,1,1,1
"6","mld",0,1,0,1,1,1,1,1
"7","sbtm",0,1,0,1,1,1,1,1
"8","u",0,1,0,1,1,1,1,1
"9","xbtm",0,1,0,1,1,1,1,1
"10","dfs",0,1,0,1,1,1,1,1
