"",".metric",".estimator",".estimate",".config"
"1","accuracy","binary",0.981684981684982,"Preprocessor1_Model1"
"2","boyce_cont","binary",0.75694081766886,"Preprocessor1_Model1"
"3","roc_auc","binary",0.949253731343284,"Preprocessor1_Model1"
"4","tss_max","binary",0.809701492537313,"Preprocessor1_Model1"
