"","var","importance","mean","sd","min","q25","med","q75","max"
"1","sss",25.71,0.759768477907752,0.050527834149568,0.686122498324781,0.753421416481223,0.755992939772232,0.776900085972018,0.826405448988505
"2","sbtm",20.86,0.805028306702486,0.046190897801571,0.763377417331801,0.784821350936564,0.795870385586113,0.797028768250908,0.884043611407042
"3","depth",20.16,0.811602360942529,0.0339967996281469,0.76959661744267,0.787848187292134,0.814875348931782,0.82997404090176,0.855717610144298
"4","dfs",8.87,0.917111690468388,0.0128454032620584,0.897364247650226,0.911795484530011,0.922546529623246,0.92379468691235,0.930057503626108
"5","log_depth",8.5,0.920591533616122,0.006023706579414,0.913396982207922,0.917739518737089,0.919665871750235,0.922599655472159,0.929555639913204
"6","xbtm",5.07,0.952636254588515,0.00892371479729132,0.939143790352823,0.949727581666373,0.953055144432353,0.960370288270957,0.960884468220069
"7","sst",4.57,0.95728276043673,0.00455611728608955,0.950129825538345,0.956163300242763,0.958518098660086,0.959330064058838,0.962272513683618
"8","v",2.72,0.974591539642898,0.00404441404507656,0.969631527847199,0.972320507097746,0.973555287295456,0.978265885339689,0.9791844906344
"9","fish_biomass",2.42,0.977397715114778,0.0042361353224681,0.970602598279481,0.976867235490303,0.977648090340704,0.980594530385453,0.981276121077948
"10","mld",1.03,0.990358189225211,0.00328664483668332,0.986592659544668,0.987663185311041,0.990376541923684,0.992866997044713,0.994291562301949
"11","u",0.08,0.99923614517881,0.000335967074766682,0.998780231345084,0.999115188572927,0.99919677469609,0.999407187003906,0.999681344276044
"12","tbtm",0.01,0.999902717292909,6.14787436132307e-06,0.99989438204481,0.9998980864626,0.99990541697717,0.999907478490698,0.999908222489266
