"","var","importance","mean","sd","min","q25","med","q75","max"
"1","dfs",34.49,0.491107314756598,0.0152703172455129,0.475051522801757,0.476819247213028,0.490791403263569,0.505853056865566,0.507021343639068
"2","mld",20.93,0.691110673988007,0.0349908550121208,0.662045283232221,0.672320987092905,0.675045778729798,0.696626113400607,0.749515207484502
"3","depth",11.17,0.835160464797464,0.0168192163400983,0.818923329837791,0.822793550401153,0.833026119534659,0.839621427872467,0.861437896341251
"4","sss",7.34,0.891646764807878,0.00412399313665946,0.885232207960454,0.891140269097452,0.892027823262478,0.893320636374112,0.896512887344896
"5","u",6.27,0.907555528664052,0.0183807461001985,0.887193668140916,0.89411305490096,0.905738646765543,0.917673111899715,0.933059161613126
"6","sst",6.15,0.909296775018051,0.00673411743490974,0.902337374464939,0.902577433519979,0.909840941399941,0.915071633605117,0.91665649210028
"7","fish_biomass",5.8,0.914388184962734,0.00791913984524101,0.905294118670732,0.907044790217292,0.916343194588135,0.919966453459943,0.92329236787757
"8","tbtm",4.97,0.926624210579664,0.005402745128697,0.918847422309818,0.924059886928404,0.927019496673218,0.931386824505726,0.931807422481152
"9","xbtm",1.34,0.980245784688033,0.00237747277984801,0.977787421210489,0.978714523847608,0.979175916063357,0.982403144777943,0.983147917540768
"10","v",1.26,0.981421868803817,0.00306912182252526,0.978293991109346,0.979582267070384,0.980835114005824,0.982108382950426,0.986289588883107
"11","sbtm",0.28,0.995898233960226,0.000233097111721116,0.995703418716428,0.995709436990073,0.995821364635627,0.99600236116544,0.99625458829356
"12","log_depth",0,1,0,1,1,1,1,1
