"","var","importance","mean","sd","min","q25","med","q75","max"
"1","sst",23.93,0.650535179288721,0.0252620635224106,0.62015046791347,0.628080665687036,0.661115907848379,0.663905256452141,0.679423598542579
"2","v",16.81,0.754484032993216,0.00850537001310054,0.74534379567194,0.751050853424758,0.753348064803541,0.754311258967904,0.768366192097934
"3","depth",13.3,0.805736779556567,0.0132632292464862,0.78485875555207,0.803233211000063,0.806762280449173,0.814618721200371,0.81921092958116
"4","mld",12.88,0.811943665518813,0.0169986527382407,0.792605984599324,0.799875313600257,0.8138172716881,0.816794404942769,0.836625352763618
"5","u",10,0.853896609423623,0.0138848389835063,0.84014543867864,0.840899124351919,0.852040938602838,0.86766098376975,0.868736561714966
"6","dfs",9.5,0.861194933570303,0.00967616009429128,0.849340510273607,0.853944120498463,0.861257629519951,0.870495351796688,0.870937055762805
"7","xbtm",7.42,0.891662796610203,0.00814035981691946,0.885048703294062,0.885783948887283,0.886939927191358,0.897419632702579,0.903121770975731
"8","fish_biomass",2.97,0.956557684145097,0.00277134806655112,0.952500486509863,0.956542579281527,0.956589978527463,0.956831474599817,0.960323901806814
"9","log_depth",1.6,0.976682141031776,0.0056624156366367,0.970329526215141,0.973753587752299,0.974410152240502,0.980532581636565,0.984384857314371
"10","tbtm",0.74,0.989236238983703,0.00106985155716666,0.987751208536852,0.988486495083508,0.989673579151895,0.990088875506968,0.990181036639295
"11","sbtm",0.62,0.991008136315052,0.00170956305301137,0.98869018377161,0.989805855923467,0.991614690670913,0.99210485647345,0.99282509473582
"12","sss",0.23,0.99670771949454,0.000172582830932447,0.996514522174238,0.996629949118813,0.996677227902756,0.996737211128843,0.996979687148048
