"","wflow_id",".metric","mean","std_err","n"
"1","default_glm","boyce_cont",0.527397532385972,0.120056319821132,9
"2","default_glm","roc_auc",0.572969044426312,0.0501682509101232,9
"3","default_glm","tss_max",0.304310859026696,0.0616920516644432,9
"4","default_rf","boyce_cont",0.61420887315336,0.0826431706464365,9
"5","default_rf","roc_auc",0.558189131798236,0.0241585662138808,9
"6","default_rf","tss_max",0.256957131396498,0.0235391228963479,9
"7","default_gbm","boyce_cont",0.57385789381212,0.0830604170449345,9
"8","default_gbm","roc_auc",0.633309182339129,0.0357838202223332,9
"9","default_gbm","tss_max",0.329457730779839,0.0538277003697636,9
"10","default_maxent","boyce_cont",0.434948710635525,0.158571070911496,9
"11","default_maxent","roc_auc",0.575453069971092,0.0468344593529633,9
"12","default_maxent","tss_max",0.27809689851079,0.0606818440332426,9
